# Performance Monitoring Events for Intel(R) Xeon(R) Processor E5 v4 Family Based on the the Broadwell Microarchitecture - V10
# 9/16/2016 11:54:14 AM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	L1_Hit_Indication	Errata	ELLC
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_MISS.REMOTE_HITM	Counts all demand & prefetch data reads that miss the L3 and the modified data is transferred from remote cache	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x103fc00091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_MISS.REMOTE_DRAM	Counts all demand & prefetch data reads that miss the L3 and the data is returned from remote dram	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x063bc00091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_MISS.LOCAL_DRAM	Counts all demand & prefetch data reads that miss the L3 and the data is returned from local dram	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0604000091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_MISS.ANY_RESPONSE	Counts all demand & prefetch data reads that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fbfc00091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_HIT.HITM_OTHER_CORE	Counts all demand & prefetch data reads that hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003c0091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_DATA_RD.LLC_HIT.HIT_OTHER_CORE_NO_FWD	Counts all demand & prefetch data reads that hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x04003c0091	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_LLC_CODE_RD.LLC_MISS.ANY_RESPONSE	Counts prefetch (that bring data to LLC only) code reads that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fbfc00200	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_LLC_CODE_RD.LLC_HIT.ANY_RESPONSE	Counts prefetch (that bring data to LLC only) code reads that hit in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3f803c0200	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_LLC_RFO.LLC_MISS.ANY_RESPONSE	Counts all prefetch (that bring data to LLC only) RFOs that miss in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fbfc00100	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.PF_LLC_RFO.LLC_HIT.ANY_RESPONSE	Counts all prefetch (that bring data to LLC only) RFOs that hit in the L3	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3f803c0100	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.REMOTE_HITM	Counts all demand data writes (RFOs) that miss the L3 and the modified data is transferred from remote cache	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x103fc00002	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE	Counts all demand data writes (RFOs) that hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x10003c0002	0	0	0	0	0	0	0	0	null	0
