# Performance Monitoring Events for Intel Atom Processors Based on the Goldmont Microarchitecture - V8
# 8/16/2016 1:31:03 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	PEBScounters	SampleAfterValue	MSRIndex	MSRValue	CollectPEBSRecord	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	Errata
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_PF_DATA_RD.L2_HIT	Counts data reads generated by L1 or L2 prefetchers that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000043010 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_REQUEST.L2_MISS.HITM_OTHER_CORE	Counts requests to the uncore subsystem that miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x1000008000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_REQUEST.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts requests to the uncore subsystem that miss the L2 cache with a snoop hit in the other processor module, no data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0400008000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_REQUEST.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts requests to the uncore subsystem that true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0	100007	0x1a6,0x1a7	0x0200008000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_REQUEST.L2_HIT	Counts requests to the uncore subsystem that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000048000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.ANY_REQUEST.ANY_RESPONSE	Counts requests to the uncore subsystem that have any transaction responses from the uncore subsystem.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000018000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.STREAMING_STORES.L2_MISS.ANY	Counts any data writes to uncacheable write combining (USWC) memory region  that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600004800 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.STREAMING_STORES.L2_HIT	Counts any data writes to uncacheable write combining (USWC) memory region  that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000044800 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PARTIAL_STREAMING_STORES.L2_MISS.ANY	Counts partial cache line data writes to uncacheable write combining (USWC) memory region  that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600004000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PARTIAL_STREAMING_STORES.L2_MISS.HITM_OTHER_CORE	Counts partial cache line data writes to uncacheable write combining (USWC) memory region  that miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x1000004000 	0	0	0	0	0	0	0	null
