# Performance Monitoring Events for Intel(R) Xeon(R) processor E5 family and Intel(R) Xeon(R) processor E7 family Based on the Ivy Bridge-EP Microarchitecture - V17
# 7/29/2015 2:56:15 PM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	PRECISE_STORE	Errata
0xB7	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_MISS.ANY_DRAM_0	Counts demand data reads that miss the LLC  and the data returned from remote & local dram	0	0	100003	0x1a6	0x67fc00001	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_MISS.ANY_RESPONSE_0	Counts demand data reads that miss in the LLC	0	0	100003	0x1a6	0x3fffc00001	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_MISS.LOCAL_DRAM_0	Counts demand data reads that miss the LLC  and the data returned from local dram	0	0	100003	0x1a6	0x600400001	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_MISS.REMOTE_DRAM_0	Counts demand data reads that miss the LLC  and the data returned from remote dram	0	0	100003	0x1a6	0x67f800001	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_MISS.REMOTE_HIT_FORWARD_0	Counts demand data reads that miss the LLC  and the data forwarded from remote cache	0	0	100003	0x1a6	0x87f800001	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.LLC_MISS.REMOTE_HITM_0	Counts demand data reads that miss the LLC  the data is found in M state in remote cache and forwarded from there	0	0	100003	0x1a6	0x107fc00001	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE_0	Counts demand data writes (RFOs) that hit in the LLC and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	0	0	100003	0x1a6	0x10003c0002	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.OTHER.LRU_HINTS_0	Counts L2 hints sent to LLC to keep a line from being evicted out of the core caches	0	0	100003	0x1a6	0x803c8000	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.OTHER.PORTIO_MMIO_UC_0	Counts miscellaneous accesses that include port i/o, MMIO and uncacheable memory accesses	0	0	100003	0x1a6	0x23ffc08000	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_CODE_RD.LLC_HIT.ANY_RESPONSE_0	Counts all prefetch (that bring data to L2) code reads that hit in the LLC	0	0	100003	0x1a6	0x3f803c0040	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_CODE_RD.LLC_MISS.ANY_RESPONSE_0	Counts all prefetch (that bring data to L2) code reads that miss the LLC  and the data returned from remote & local dram	0	0	100003	0x1a6	0x3fffc20040	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_HIT.ANY_RESPONSE_0	Counts prefetch (that bring data to L2) data reads that hit in the LLC	0	0	100003	0x1a6	0x3f803c0010	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_HIT.HIT_OTHER_CORE_NO_FWD_0	Counts prefetch (that bring data to L2) data reads that hit in the LLC and the snoops to sibling cores hit in either E/S state and the line is not forwarded	0	0	100003	0x1a6	0x4003c0010	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_HIT.HITM_OTHER_CORE_0	Counts prefetch (that bring data to L2) data reads that hit in the LLC and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	0	0	100003	0x1a6	0x10003c0010	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_HIT.NO_SNOOP_NEEDED_0	Counts prefetch (that bring data to L2) data reads that hit in the LLC and sibling core snoops are not needed as either the core-valid bit is not set or the shared line is present in multiple cores	0	0	100003	0x1a6	0x1003c0010	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_HIT.SNOOP_MISS_0	Counts prefetch (that bring data to L2) data reads that hit in the LLC and the snoops sent to sibling cores return clean response	0	0	100003	0x1a6	0x2003c0010	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_MISS.ANY_DRAM_0	Counts prefetch (that bring data to L2) data reads that miss the LLC  and the data returned from remote & local dram	0	0	100003	0x1a6	0x67fc00010	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_MISS.ANY_RESPONSE_0	Counts prefetch (that bring data to L2) data reads that miss in the LLC	0	0	100003	0x1a6	0x3fffc00010	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_MISS.LOCAL_DRAM_0	Counts prefetch (that bring data to L2) data reads that miss the LLC  and the data returned from local dram	0	0	100003	0x1a6	0x600400010	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_MISS.REMOTE_DRAM_0	Counts prefetch (that bring data to L2) data reads  that miss the LLC  and the data returned from remote dram	0	0	100003	0x1a6	0x67f800010	0	0	0	0	0	0	0	null
0xB7	0x01	OFFCORE_RESPONSE.PF_L2_DATA_RD.LLC_MISS.REMOTE_HIT_FORWARD_0	Counts prefetch (that bring data to L2) data reads that miss the LLC  and the data forwarded from remote cache	0	0	100003	0x1a6	0x87f800010	0	0	0	0	0	0	0	null
